Czas Odczytu,Current [A],Flow [l/min],Temp [°C]
2025-01-03 13:23:42,223.5 s,247 A,26.4 V,1.29 l/min,21.0 °C
2025-01-03 13:23:43,223.5 s,247 A,26.4 V,1.30 l/min,21.0 °C
2025-01-03 13:23:45,223.5 s,247 A,26.4 V,1.28 l/min,21.0 °C
2025-01-03 13:23:46,223.5 s,247 A,26.4 V,1.30 l/min,21.0 °C
2025-01-03 13:23:47,223.5 s,247 A,26.4 V,1.30 l/min,21.0 °C
2025-01-03 13:23:49,223.5 s,247 A,26.4 V,1.29 l/min,21.0 °C
2025-01-03 13:23:50,223.5 s,247 A,26.4 V,1.29 l/min,21.0 °C
2025-01-03 13:23:51,223.5 s,247 A,26.4 V,1.29 l/min,21.0 °C
2025-01-03 13:23:53,223.5 s,247 A,26.4 V,1.29 l/min,21.0 °C
2025-01-03 13:23:54,223.5 s,247 A,26.4 V,1.30 l/min,21.0 °C
2025-01-03 13:23:56,223.5 s,247 A,26.4 V,1.30 l/min,21.0 °C
2025-01-03 13:23:57,223.5 s,247 A,26.4 V,1.29 l/min,21.0 °C
2025-01-03 13:23:58,223.5 s,247 A,26.4 V,1.29 l/min,21.0 °C
2025-01-03 13:23:59,223.5 s,247 A,26.4 V,1.29 l/min,21.0 °C
2025-01-03 13:24:01,223.5 s,247 A,26.4 V,1.29 l/min,21.0 °C
2025-01-03 13:24:02,223.5 s,247 A,26.4 V,1.29 l/min,21.0 °C
2025-01-03 13:24:03,223.5 s,247 A,26.4 V,1.29 l/min,21.0 °C
2025-01-03 13:24:05,223.5 s,247 A,26.4 V,1.29 l/min,21.0 °C
2025-01-03 13:24:06,223.5 s,247 A,26.4 V,1.29 l/min,21.0 °C
2025-01-03 13:24:07,223.5 s,247 A,26.4 V,1.29 l/min,21.0 °C
2025-01-03 13:24:08,223.5 s,247 A,26.4 V,1.29 l/min,21.0 °C
2025-01-03 13:24:10,223.5 s,247 A,26.4 V,1.30 l/min,21.0 °C
2025-01-03 13:24:11,223.5 s,247 A,26.4 V,1.30 l/min,21.0 °C
2025-01-03 13:24:12,223.5 s,247 A,26.4 V,1.29 l/min,21.0 °C
2025-01-03 13:24:13,223.5 s,247 A,26.4 V,1.29 l/min,21.0 °C
2025-01-03 13:24:14,223.5 s,247 A,26.4 V,1.30 l/min,21.0 °C
2025-01-03 13:24:16,223.5 s,247 A,26.4 V,1.29 l/min,21.0 °C
2025-01-03 13:24:17,223.5 s,247 A,26.4 V,1.28 l/min,21.0 °C
2025-01-03 13:24:18,223.5 s,247 A,26.4 V,1.30 l/min,21.0 °C
2025-01-03 13:24:19,223.5 s,247 A,26.4 V,1.30 l/min,21.0 °C
2025-01-03 13:24:21,223.5 s,247 A,26.4 V,1.30 l/min,21.0 °C
2025-01-03 13:24:22,223.5 s,247 A,26.4 V,1.30 l/min,21.0 °C
2025-01-03 13:24:23,223.5 s,247 A,26.4 V,1.30 l/min,21.0 °C
2025-01-03 13:24:25,223.5 s,247 A,26.4 V,1.30 l/min,21.0 °C
2025-01-03 13:24:26,1.1 s,280 A,32.0 V,1.30 l/min,21.0 °C
2025-01-03 13:24:27,2.4 s,292 A,31.9 V,1.29 l/min,21.0 °C
2025-01-03 13:24:29,3.7 s,282 A,32.0 V,1.29 l/min,21.0 °C
2025-01-03 13:24:30,5.1 s,260 A,32.2 V,1.29 l/min,21.0 °C
2025-01-03 13:24:31,6.4 s,259 A,32.2 V,1.29 l/min,21.0 °C
2025-01-03 13:24:33,7.8 s,253 A,32.3 V,1.29 l/min,21.0 °C
2025-01-03 13:24:34,9.1 s,260 A,32.2 V,1.29 l/min,21.0 °C
2025-01-03 13:24:35,10.4 s,278 A,32.0 V,1.29 l/min,21.0 °C
2025-01-03 13:24:37,11.9 s,278 A,32.0 V,1.29 l/min,21.0 °C
2025-01-03 13:24:38,13.2 s,268 A,32.1 V,1.29 l/min,21.0 °C
2025-01-03 13:24:39,14.5 s,274 A,32.1 V,1.29 l/min,21.0 °C
2025-01-03 13:24:41,15.9 s,280 A,32.0 V,1.30 l/min,21.0 °C
2025-01-03 13:24:42,17.3 s,261 A,32.2 V,1.29 l/min,21.0 °C
2025-01-03 13:24:43,18.7 s,261 A,32.2 V,1.30 l/min,21.0 °C
2025-01-03 13:24:45,20.0 s,251 A,32.3 V,1.30 l/min,21.0 °C
2025-01-03 13:24:46,21.4 s,254 A,32.3 V,1.30 l/min,21.0 °C
2025-01-03 13:24:48,23.0 s,269 A,32.1 V,1.30 l/min,21.0 °C
2025-01-03 13:24:49,24.4 s,271 A,32.1 V,1.31 l/min,21.0 °C
2025-01-03 13:24:51,25.8 s,263 A,32.2 V,1.31 l/min,21.0 °C
2025-01-03 13:24:52,27.3 s,266 A,32.2 V,1.31 l/min,21.0 °C
2025-01-03 13:24:54,28.7 s,249 A,32.3 V,1.31 l/min,21.0 °C
2025-01-03 13:24:55,30.1 s,249 A,32.3 V,1.31 l/min,21.0 °C
2025-01-03 13:24:56,31.6 s,262 A,32.2 V,1.30 l/min,21.0 °C
2025-01-03 13:24:58,32.9 s,271 A,32.1 V,1.30 l/min,21.0 °C
2025-01-03 13:24:59,34.4 s,272 A,32.1 V,1.30 l/min,21.0 °C
2025-01-03 13:25:01,35.9 s,265 A,32.2 V,1.30 l/min,21.0 °C
2025-01-03 13:25:02,37.2 s,258 A,32.2 V,1.30 l/min,21.0 °C
2025-01-03 13:25:04,38.7 s,253 A,32.3 V,1.30 l/min,21.0 °C
2025-01-03 13:25:05,40.1 s,247 A,32.3 V,1.30 l/min,21.0 °C
2025-01-03 13:25:06,41.7 s,275 A,32.1 V,1.31 l/min,21.0 °C
2025-01-03 13:25:08,43.1 s,274 A,32.1 V,1.30 l/min,21.0 °C
2025-01-03 13:25:09,44.5 s,269 A,32.1 V,1.30 l/min,21.0 °C
2025-01-03 13:25:11,46.1 s,276 A,32.1 V,1.30 l/min,21.0 °C
2025-01-03 13:25:12,47.5 s,268 A,32.1 V,1.30 l/min,21.0 °C
2025-01-03 13:25:14,48.8 s,270 A,32.1 V,1.30 l/min,21.0 °C
2025-01-03 13:25:15,50.0 s,265 A,32.2 V,1.30 l/min,21.0 °C
2025-01-03 13:25:16,51.4 s,271 A,32.1 V,1.30 l/min,21.0 °C
2025-01-03 13:25:18,52.8 s,278 A,32.0 V,1.30 l/min,21.0 °C
2025-01-03 13:25:19,54.0 s,273 A,32.1 V,1.30 l/min,21.0 °C
2025-01-03 13:25:20,55.4 s,264 A,32.2 V,1.30 l/min,21.0 °C
2025-01-03 13:25:22,56.8 s,258 A,32.3 V,1.30 l/min,21.0 °C
2025-01-03 13:25:23,58.1 s,259 A,32.2 V,1.31 l/min,21.0 °C
2025-01-03 13:25:24,59.4 s,266 A,32.2 V,1.31 l/min,22.0 °C
2025-01-03 13:25:26,60.8 s,267 A,32.1 V,1.31 l/min,22.0 °C
2025-01-03 13:25:27,62.1 s,270 A,32.1 V,1.31 l/min,22.0 °C
2025-01-03 13:25:28,63.5 s,271 A,32.1 V,1.31 l/min,22.0 °C
2025-01-03 13:25:30,64.7 s,268 A,32.1 V,1.31 l/min,22.0 °C
2025-01-03 13:25:31,66.0 s,258 A,32.2 V,1.31 l/min,22.0 °C
2025-01-03 13:25:32,67.4 s,270 A,32.1 V,1.30 l/min,22.0 °C
2025-01-03 13:25:34,68.7 s,265 A,32.2 V,1.30 l/min,22.0 °C
2025-01-03 13:25:35,70.1 s,265 A,32.2 V,1.30 l/min,22.0 °C
2025-01-03 13:25:36,71.4 s,268 A,32.1 V,1.31 l/min,22.0 °C
2025-01-03 13:25:38,72.7 s,271 A,32.1 V,1.31 l/min,22.0 °C
2025-01-03 13:25:39,74.0 s,272 A,32.1 V,1.30 l/min,22.0 °C
2025-01-03 13:25:40,75.5 s,266 A,32.2 V,1.31 l/min,22.0 °C
2025-01-03 13:25:42,76.8 s,270 A,32.1 V,1.30 l/min,22.0 °C
2025-01-03 13:25:43,78.2 s,269 A,32.1 V,1.31 l/min,22.0 °C
2025-01-03 13:25:44,79.5 s,266 A,32.2 V,1.30 l/min,22.0 °C
2025-01-03 13:25:46,80.8 s,265 A,32.2 V,1.31 l/min,22.0 °C
2025-01-03 13:25:47,82.2 s,270 A,32.1 V,1.30 l/min,22.0 °C
2025-01-03 13:25:48,83.6 s,245 A,32.4 V,1.30 l/min,22.0 °C
2025-01-03 13:25:50,84.9 s,275 A,32.1 V,1.31 l/min,22.0 °C
2025-01-03 13:25:51,86.2 s,273 A,32.1 V,1.31 l/min,22.0 °C
2025-01-03 13:25:52,87.6 s,271 A,32.1 V,1.31 l/min,22.0 °C
2025-01-03 13:25:54,88.9 s,273 A,32.1 V,1.31 l/min,22.0 °C
2025-01-03 13:25:55,90.2 s,272 A,32.1 V,1.31 l/min,22.0 °C
2025-01-03 13:25:56,91.5 s,276 A,32.1 V,1.30 l/min,23.0 °C
2025-01-03 13:25:58,92.8 s,273 A,32.1 V,1.30 l/min,23.0 °C
2025-01-03 13:25:59,94.3 s,277 A,32.0 V,1.31 l/min,23.0 °C
2025-01-03 13:26:00,95.6 s,279 A,32.1 V,1.31 l/min,23.0 °C
2025-01-03 13:26:02,97.0 s,276 A,32.1 V,1.31 l/min,23.0 °C
2025-01-03 13:26:03,98.3 s,276 A,32.1 V,1.31 l/min,23.0 °C
2025-01-03 13:26:04,99.7 s,270 A,32.1 V,1.31 l/min,23.0 °C
2025-01-03 13:26:06,101.0 s,270 A,32.1 V,1.31 l/min,23.0 °C
2025-01-03 13:26:07,102.4 s,270 A,32.1 V,1.31 l/min,23.0 °C
2025-01-03 13:26:08,103.6 s,270 A,32.1 V,1.31 l/min,23.0 °C
2025-01-03 13:26:10,104.9 s,273 A,32.1 V,1.31 l/min,23.0 °C
2025-01-03 13:26:11,106.3 s,269 A,32.1 V,1.31 l/min,23.0 °C
2025-01-03 13:26:12,107.6 s,274 A,32.1 V,1.30 l/min,23.0 °C
2025-01-03 13:26:14,108.9 s,272 A,32.1 V,1.30 l/min,23.0 °C
2025-01-03 13:26:15,110.2 s,272 A,32.1 V,1.30 l/min,23.0 °C
2025-01-03 13:26:16,111.6 s,272 A,32.1 V,1.31 l/min,23.0 °C
2025-01-03 13:26:18,113.0 s,278 A,32.0 V,1.31 l/min,23.0 °C
2025-01-03 13:26:19,114.3 s,276 A,32.1 V,1.31 l/min,23.0 °C
2025-01-03 13:26:20,115.6 s,276 A,32.1 V,1.30 l/min,23.0 °C
2025-01-03 13:26:22,117.0 s,277 A,32.0 V,1.30 l/min,23.0 °C
2025-01-03 13:26:23,118.4 s,274 A,32.1 V,1.30 l/min,23.0 °C
2025-01-03 13:26:24,119.7 s,277 A,32.0 V,1.31 l/min,23.0 °C
2025-01-03 13:26:26,121.0 s,275 A,32.1 V,1.31 l/min,23.0 °C
2025-01-03 13:26:27,122.4 s,275 A,32.1 V,1.31 l/min,23.0 °C
2025-01-03 13:26:29,123.7 s,266 A,32.2 V,1.31 l/min,23.0 °C
2025-01-03 13:26:30,125.1 s,268 A,32.1 V,1.31 l/min,23.0 °C
2025-01-03 13:26:31,126.5 s,265 A,32.2 V,1.31 l/min,23.0 °C
2025-01-03 13:26:33,127.8 s,269 A,32.1 V,1.31 l/min,23.0 °C
2025-01-03 13:26:34,129.2 s,275 A,32.1 V,1.30 l/min,24.0 °C
2025-01-03 13:26:35,130.6 s,275 A,32.1 V,1.31 l/min,24.0 °C
2025-01-03 13:26:37,131.9 s,274 A,32.1 V,1.30 l/min,24.0 °C
2025-01-03 13:26:38,133.2 s,274 A,32.1 V,1.31 l/min,24.0 °C
2025-01-03 13:26:39,134.5 s,275 A,32.1 V,1.31 l/min,24.0 °C
2025-01-03 13:26:41,135.8 s,271 A,32.1 V,1.31 l/min,24.0 °C
2025-01-03 13:26:42,137.2 s,275 A,32.1 V,1.31 l/min,24.0 °C
2025-01-03 13:26:43,138.5 s,273 A,32.1 V,1.31 l/min,24.0 °C
2025-01-03 13:26:45,139.8 s,270 A,32.1 V,1.31 l/min,24.0 °C
2025-01-03 13:26:46,141.2 s,267 A,32.1 V,1.31 l/min,24.0 °C
2025-01-03 13:26:47,142.4 s,283 A,32.0 V,1.31 l/min,24.0 °C
2025-01-03 13:26:49,143.8 s,281 A,32.0 V,1.31 l/min,24.0 °C
2025-01-03 13:26:50,145.2 s,281 A,32.0 V,1.30 l/min,24.0 °C
2025-01-03 13:26:51,146.5 s,279 A,32.0 V,1.30 l/min,24.0 °C
2025-01-03 13:26:53,147.8 s,283 A,32.0 V,1.31 l/min,24.0 °C
2025-01-03 13:26:54,149.4 s,284 A,32.0 V,1.30 l/min,24.0 °C
2025-01-03 13:26:55,150.7 s,286 A,32.0 V,1.30 l/min,24.0 °C
2025-01-03 13:26:57,152.0 s,282 A,32.0 V,1.30 l/min,24.0 °C
2025-01-03 13:26:58,153.3 s,282 A,32.0 V,1.30 l/min,24.0 °C
2025-01-03 13:27:00,154.7 s,249 A,32.3 V,1.30 l/min,24.0 °C
2025-01-03 13:27:01,156.1 s,247 A,32.4 V,1.30 l/min,24.0 °C
2025-01-03 13:27:02,157.4 s,245 A,32.4 V,1.31 l/min,24.0 °C
2025-01-03 13:27:03,158.6 s,273 A,32.1 V,1.30 l/min,24.0 °C
2025-01-03 13:27:05,160.0 s,277 A,32.0 V,1.30 l/min,24.0 °C
2025-01-03 13:27:06,161.4 s,279 A,32.0 V,1.31 l/min,24.0 °C
2025-01-03 13:27:08,162.8 s,284 A,32.0 V,1.31 l/min,24.0 °C
2025-01-03 13:27:09,164.0 s,280 A,32.0 V,1.31 l/min,24.0 °C
2025-01-03 13:27:10,165.3 s,269 A,32.1 V,1.31 l/min,24.0 °C
2025-01-03 13:27:12,166.8 s,269 A,32.1 V,1.31 l/min,24.0 °C
2025-01-03 13:27:13,168.1 s,277 A,32.0 V,1.30 l/min,24.0 °C
2025-01-03 13:27:14,169.4 s,268 A,32.1 V,1.31 l/min,24.0 °C
2025-01-03 13:27:16,170.8 s,278 A,32.0 V,1.31 l/min,24.0 °C
2025-01-03 13:27:17,172.1 s,277 A,32.0 V,1.30 l/min,24.0 °C
2025-01-03 13:27:18,173.5 s,279 A,32.0 V,1.30 l/min,24.0 °C
2025-01-03 13:27:20,174.9 s,268 A,32.1 V,1.30 l/min,24.0 °C
2025-01-03 13:27:21,176.3 s,269 A,32.1 V,1.31 l/min,24.0 °C
2025-01-03 13:27:22,177.6 s,265 A,32.2 V,1.30 l/min,24.0 °C
2025-01-03 13:27:24,179.1 s,266 A,32.2 V,1.30 l/min,24.0 °C
2025-01-03 13:27:25,180.4 s,273 A,32.1 V,1.30 l/min,24.0 °C
2025-01-03 13:27:27,181.8 s,278 A,32.0 V,1.30 l/min,24.0 °C
2025-01-03 13:27:28,183.1 s,279 A,32.0 V,1.30 l/min,24.0 °C
2025-01-03 13:27:29,184.6 s,277 A,32.0 V,1.32 l/min,25.0 °C
2025-01-03 13:27:31,186.0 s,281 A,32.0 V,1.31 l/min,25.0 °C
2025-01-03 13:27:32,187.3 s,278 A,32.0 V,1.31 l/min,25.0 °C
2025-01-03 13:27:34,188.8 s,276 A,32.0 V,1.31 l/min,25.0 °C
2025-01-03 13:27:35,190.1 s,273 A,32.1 V,1.31 l/min,25.0 °C
2025-01-03 13:27:36,191.4 s,280 A,32.0 V,1.31 l/min,25.0 °C
2025-01-03 13:27:38,192.7 s,279 A,32.0 V,1.31 l/min,25.0 °C
2025-01-03 13:27:39,194.1 s,276 A,32.1 V,1.31 l/min,25.0 °C
2025-01-03 13:27:40,195.5 s,265 A,32.2 V,1.31 l/min,25.0 °C
