Czas Odczytu,Wartość
2025-01-02 14:26:03,21.0 °C
2025-01-02 14:26:04,21.0 °C
2025-01-02 14:26:04,21.0 °C
2025-01-02 14:26:05,21.0 °C
2025-01-02 14:26:05,21.0 °C
2025-01-02 14:26:05,21.0 °C
2025-01-02 14:26:06,21.0 °C
2025-01-02 14:26:06,21.0 °C
2025-01-02 14:26:07,21.0 °C
2025-01-02 14:26:07,21.0 °C
2025-01-02 14:26:08,21.0 °C
2025-01-02 14:26:08,21.0 °C
2025-01-02 14:26:09,21.0 °C
2025-01-02 14:26:09,21.0 °C
2025-01-02 14:26:10,21.0 °C
2025-01-02 14:26:10,21.0 °C
2025-01-02 14:26:11,21.0 °C
2025-01-02 14:26:11,21.0 °C
2025-01-02 14:26:12,21.0 °C
2025-01-02 14:26:12,21.0 °C
2025-01-02 14:26:13,21.0 °C
2025-01-02 14:26:13,21.0 °C
2025-01-02 14:26:14,21.0 °C
2025-01-02 14:26:14,21.0 °C
2025-01-02 14:26:14,21.0 °C
2025-01-02 14:26:15,21.0 °C
2025-01-02 14:26:15,21.0 °C
2025-01-02 14:26:16,21.0 °C
2025-01-02 14:26:16,21.0 °C
2025-01-02 14:26:17,21.0 °C
2025-01-02 14:26:17,21.0 °C
2025-01-02 14:26:18,21.0 °C
2025-01-02 14:26:18,21.0 °C
2025-01-02 14:26:19,21.0 °C
2025-01-02 14:26:19,21.0 °C
2025-01-02 14:26:20,21.0 °C
2025-01-02 14:26:20,21.0 °C
2025-01-02 14:26:21,21.0 °C
2025-01-02 14:26:21,21.0 °C
2025-01-02 14:26:22,21.0 °C
2025-01-02 14:26:22,21.0 °C
2025-01-02 14:26:23,21.0 °C
2025-01-02 14:26:23,21.0 °C
2025-01-02 14:26:23,21.0 °C
2025-01-02 14:26:24,21.0 °C
2025-01-02 14:26:24,21.0 °C
2025-01-02 14:26:25,21.0 °C
2025-01-02 14:26:25,21.0 °C
2025-01-02 14:26:26,21.0 °C
2025-01-02 14:26:26,21.0 °C
2025-01-02 14:26:27,21.0 °C
2025-01-02 14:26:27,21.0 °C
2025-01-02 14:26:28,21.0 °C
2025-01-02 14:26:28,21.0 °C
2025-01-02 14:26:29,21.0 °C
2025-01-02 14:26:29,21.0 °C
2025-01-02 14:26:30,21.0 °C
2025-01-02 14:26:30,21.0 °C
2025-01-02 14:26:31,21.0 °C
2025-01-02 14:26:31,21.0 °C
2025-01-02 14:26:32,21.0 °C
2025-01-02 14:26:32,21.0 °C
2025-01-02 14:26:32,21.0 °C
2025-01-02 14:26:33,21.0 °C
2025-01-02 14:26:33,21.0 °C
2025-01-02 14:26:34,21.0 °C
2025-01-02 14:26:34,21.0 °C
2025-01-02 14:26:35,21.0 °C
2025-01-02 14:26:35,21.0 °C
2025-01-02 14:26:36,21.0 °C
2025-01-02 14:26:36,21.0 °C
2025-01-02 14:26:37,21.0 °C
2025-01-02 14:26:37,21.0 °C
2025-01-02 14:26:38,21.0 °C
2025-01-02 14:26:38,21.0 °C
2025-01-02 14:26:39,21.0 °C
2025-01-02 14:26:39,21.0 °C
2025-01-02 14:26:40,21.0 °C
2025-01-02 14:26:40,21.0 °C
2025-01-02 14:26:41,21.0 °C
2025-01-02 14:26:41,21.0 °C
2025-01-02 14:26:41,21.0 °C
2025-01-02 14:26:42,21.0 °C
2025-01-02 14:26:42,21.0 °C
2025-01-02 14:26:43,21.0 °C
2025-01-02 14:26:43,21.0 °C
2025-01-02 14:26:44,21.0 °C
2025-01-02 14:26:44,21.0 °C
2025-01-02 14:26:45,21.0 °C
2025-01-02 14:26:45,22.0 °C
2025-01-02 14:26:46,22.0 °C
2025-01-02 14:26:46,22.0 °C
2025-01-02 14:26:47,22.0 °C
2025-01-02 14:26:47,22.0 °C
2025-01-02 14:26:48,22.0 °C
2025-01-02 14:26:48,22.0 °C
2025-01-02 14:26:49,22.0 °C
2025-01-02 14:26:49,22.0 °C
2025-01-02 14:26:50,22.0 °C
2025-01-02 14:26:50,22.0 °C
2025-01-02 14:26:50,22.0 °C
2025-01-02 14:26:51,22.0 °C
2025-01-02 14:26:51,22.0 °C
2025-01-02 14:26:52,22.0 °C
2025-01-02 14:26:52,22.0 °C
2025-01-02 14:26:53,22.0 °C
2025-01-02 14:26:53,22.0 °C
2025-01-02 14:26:54,22.0 °C
2025-01-02 14:26:54,22.0 °C
2025-01-02 14:26:55,22.0 °C
2025-01-02 14:26:55,22.0 °C
2025-01-02 14:26:56,22.0 °C
2025-01-02 14:26:56,22.0 °C
2025-01-02 14:26:57,22.0 °C
2025-01-02 14:26:57,22.0 °C
2025-01-02 14:26:58,22.0 °C
2025-01-02 14:26:58,22.0 °C
2025-01-02 14:26:59,22.0 °C
2025-01-02 14:26:59,22.0 °C
2025-01-02 14:27:00,22.0 °C
2025-01-02 14:27:00,22.0 °C
2025-01-02 14:27:01,22.0 °C
2025-01-02 14:27:01,22.0 °C
2025-01-02 14:27:02,22.0 °C
2025-01-02 14:27:02,22.0 °C
2025-01-02 14:27:02,22.0 °C
2025-01-02 14:27:03,22.0 °C
2025-01-02 14:27:03,22.0 °C
2025-01-02 14:27:04,22.0 °C
2025-01-02 14:27:04,22.0 °C
2025-01-02 14:27:05,22.0 °C
2025-01-02 14:27:05,22.0 °C
2025-01-02 14:27:06,22.0 °C
2025-01-02 14:27:06,22.0 °C
2025-01-02 14:27:07,22.0 °C
2025-01-02 14:27:07,22.0 °C
2025-01-02 14:27:08,22.0 °C
2025-01-02 14:27:08,22.0 °C
2025-01-02 14:27:09,22.0 °C
2025-01-02 14:27:09,22.0 °C
2025-01-02 14:27:10,22.0 °C
2025-01-02 14:27:10,22.0 °C
2025-01-02 14:27:11,22.0 °C
2025-01-02 14:27:11,22.0 °C
2025-01-02 14:27:11,22.0 °C
2025-01-02 14:27:12,22.0 °C
2025-01-02 14:27:12,22.0 °C
2025-01-02 14:27:13,22.0 °C
2025-01-02 14:27:13,22.0 °C
2025-01-02 14:27:14,22.0 °C
2025-01-02 14:27:14,22.0 °C
2025-01-02 14:27:15,22.0 °C
2025-01-02 14:27:15,22.0 °C
2025-01-02 14:27:16,22.0 °C
2025-01-02 14:27:16,22.0 °C
2025-01-02 14:27:17,22.0 °C
2025-01-02 14:27:17,22.0 °C
2025-01-02 14:27:18,22.0 °C
2025-01-02 14:27:18,22.0 °C
2025-01-02 14:27:19,22.0 °C
2025-01-02 14:27:19,22.0 °C
2025-01-02 14:27:19,22.0 °C
2025-01-02 14:27:20,22.0 °C
2025-01-02 14:27:20,22.0 °C
2025-01-02 14:27:21,22.0 °C
2025-01-02 14:27:21,22.0 °C
2025-01-02 14:27:22,22.0 °C
2025-01-02 14:27:22,22.0 °C
2025-01-02 14:27:23,22.0 °C
2025-01-02 14:27:23,22.0 °C
2025-01-02 14:27:24,22.0 °C
2025-01-02 14:27:24,22.0 °C
2025-01-02 14:27:25,22.0 °C
2025-01-02 14:27:25,22.0 °C
2025-01-02 14:27:26,22.0 °C
2025-01-02 14:27:26,22.0 °C
2025-01-02 14:27:26,22.0 °C
2025-01-02 14:27:27,22.0 °C
2025-01-02 14:27:27,22.0 °C
2025-01-02 14:27:28,22.0 °C
2025-01-02 14:27:28,22.0 °C
2025-01-02 14:27:29,22.0 °C
2025-01-02 14:27:29,22.0 °C
2025-01-02 14:27:30,22.0 °C
2025-01-02 14:27:30,22.0 °C
2025-01-02 14:27:31,22.0 °C
2025-01-02 14:27:31,22.0 °C
2025-01-02 14:27:32,22.0 °C
2025-01-02 14:27:32,22.0 °C
2025-01-02 14:27:33,22.0 °C
2025-01-02 14:27:33,22.0 °C
2025-01-02 14:27:34,22.0 °C
2025-01-02 14:27:34,22.0 °C
2025-01-02 14:27:34,22.0 °C
2025-01-02 14:27:35,22.0 °C
2025-01-02 14:27:35,22.0 °C
2025-01-02 14:27:36,22.0 °C
2025-01-02 14:27:36,22.0 °C
