Czas Odczytu,Current [A],Flow [l/min],Temp [°C]
2025-01-03 07:03:01,250 A
2025-01-03 07:03:01,250 A
2025-01-03 07:03:01,250 A
2025-01-03 07:03:01,250 A
2025-01-03 07:03:01,250 A
2025-01-03 07:03:01,250 A
2025-01-03 07:03:01,250 A
2025-01-03 07:03:01,250 A
2025-01-03 07:03:01,250 A
2025-01-03 07:03:01,250 A
2025-01-03 07:03:01,250 A
2025-01-03 07:03:01,250 A
2025-01-03 07:03:01,250 A
2025-01-03 07:03:01,250 A
2025-01-03 07:03:01,250 A
2025-01-03 07:03:01,250 A
2025-01-03 07:03:01,250 A
2025-01-03 07:03:01,250 A
2025-01-03 07:03:01,250 A
2025-01-03 07:03:01,250 A
