Czas Odczytu,Wartość
2025-01-02 10:43:42,21.0 °C
2025-01-02 10:43:42,21.0 °C
2025-01-02 10:43:43,21.0 °C
2025-01-02 10:43:43,21.0 °C
2025-01-02 10:43:44,21.0 °C
2025-01-02 10:43:44,21.0 °C
2025-01-02 10:43:45,21.0 °C
2025-01-02 10:43:45,21.0 °C
2025-01-02 10:43:46,21.0 °C
2025-01-02 10:43:46,21.0 °C
2025-01-02 10:43:47,21.0 °C
2025-01-02 10:43:47,21.0 °C
2025-01-02 10:43:47,21.0 °C
2025-01-02 10:43:48,21.0 °C
2025-01-02 10:43:48,21.0 °C
2025-01-02 10:43:49,21.0 °C
2025-01-02 10:43:49,21.0 °C
2025-01-02 10:43:50,21.0 °C
2025-01-02 10:43:50,21.0 °C
2025-01-02 10:43:51,21.0 °C
2025-01-02 10:43:51,21.0 °C
2025-01-02 10:43:52,21.0 °C
2025-01-02 10:43:52,21.0 °C
2025-01-02 10:43:53,21.0 °C
2025-01-02 10:43:53,21.0 °C
2025-01-02 10:43:53,21.0 °C
2025-01-02 10:43:54,21.0 °C
2025-01-02 10:43:54,21.0 °C
2025-01-02 10:43:55,21.0 °C
2025-01-02 10:43:55,21.0 °C
2025-01-02 10:43:56,21.0 °C
2025-01-02 10:43:56,21.0 °C
2025-01-02 10:43:57,21.0 °C
2025-01-02 10:43:57,21.0 °C
2025-01-02 10:43:58,21.0 °C
2025-01-02 10:43:58,21.0 °C
2025-01-02 10:43:59,21.0 °C
2025-01-02 10:43:59,21.0 °C
2025-01-02 10:44:00,21.0 °C
2025-01-02 10:44:00,21.0 °C
2025-01-02 10:44:01,21.0 °C
2025-01-02 10:44:01,21.0 °C
2025-01-02 10:44:02,21.0 °C
2025-01-02 10:44:02,21.0 °C
2025-01-02 10:44:02,21.0 °C
2025-01-02 10:44:03,21.0 °C
2025-01-02 10:44:03,21.0 °C
2025-01-02 10:44:04,21.0 °C
2025-01-02 10:44:04,21.0 °C
2025-01-02 10:44:05,21.0 °C
2025-01-02 10:44:05,21.0 °C
2025-01-02 10:44:06,21.0 °C
2025-01-02 10:44:06,21.0 °C
2025-01-02 10:44:07,21.0 °C
2025-01-02 10:44:07,21.0 °C
2025-01-02 10:44:08,21.0 °C
2025-01-02 10:44:08,21.0 °C
2025-01-02 10:44:08,21.0 °C
2025-01-02 10:44:09,21.0 °C
2025-01-02 10:44:09,21.0 °C
2025-01-02 10:44:10,21.0 °C
2025-01-02 10:44:10,21.0 °C
2025-01-02 10:44:11,21.0 °C
2025-01-02 10:44:12,21.0 °C
2025-01-02 10:44:12,21.0 °C
2025-01-02 10:44:13,21.0 °C
2025-01-02 10:44:13,21.0 °C
2025-01-02 10:44:14,21.0 °C
2025-01-02 10:44:14,21.0 °C
2025-01-02 10:44:15,21.0 °C
2025-01-02 10:44:15,21.0 °C
2025-01-02 10:44:16,21.0 °C
2025-01-02 10:44:17,21.0 °C
2025-01-02 10:44:17,21.0 °C
2025-01-02 10:44:18,21.0 °C
2025-01-02 10:44:18,21.0 °C
2025-01-02 10:44:19,21.0 °C
2025-01-02 10:44:19,21.0 °C
2025-01-02 10:44:20,21.0 °C
2025-01-02 10:44:20,21.0 °C
2025-01-02 10:44:21,21.0 °C
2025-01-02 10:44:21,21.0 °C
2025-01-02 10:44:22,21.0 °C
2025-01-02 10:44:22,21.0 °C
2025-01-02 10:44:22,21.0 °C
2025-01-02 10:44:23,21.0 °C
2025-01-02 10:44:24,21.0 °C
2025-01-02 10:44:24,21.0 °C
2025-01-02 10:44:25,21.0 °C
2025-01-02 10:44:25,21.0 °C
2025-01-02 10:44:25,21.0 °C
2025-01-02 10:44:26,21.0 °C
2025-01-02 10:44:26,21.0 °C
2025-01-02 10:44:27,21.0 °C
2025-01-02 10:44:27,21.0 °C
2025-01-02 10:44:28,21.0 °C
2025-01-02 10:44:28,21.0 °C
2025-01-02 10:44:29,21.0 °C
2025-01-02 10:44:29,21.0 °C
2025-01-02 10:44:30,21.0 °C
2025-01-02 10:44:30,21.0 °C
2025-01-02 10:44:30,21.0 °C
2025-01-02 10:44:31,21.0 °C
2025-01-02 10:44:31,21.0 °C
2025-01-02 10:44:32,21.0 °C
2025-01-02 10:44:32,21.0 °C
2025-01-02 10:44:33,21.0 °C
2025-01-02 10:44:33,21.0 °C
2025-01-02 10:44:34,21.0 °C
2025-01-02 10:44:34,21.0 °C
2025-01-02 10:44:35,21.0 °C
2025-01-02 10:44:35,21.0 °C
2025-01-02 10:44:36,21.0 °C
2025-01-02 10:44:36,21.0 °C
2025-01-02 10:44:37,21.0 °C
2025-01-02 10:44:37,21.0 °C
2025-01-02 10:44:38,21.0 °C
2025-01-02 10:44:38,21.0 °C
2025-01-02 10:44:38,21.0 °C
2025-01-02 10:44:39,21.0 °C
2025-01-02 10:44:39,21.0 °C
2025-01-02 10:44:40,21.0 °C
2025-01-02 10:44:40,21.0 °C
2025-01-02 10:44:41,21.0 °C
2025-01-02 10:44:41,21.0 °C
2025-01-02 10:44:42,21.0 °C
2025-01-02 10:44:42,21.0 °C
2025-01-02 10:44:43,21.0 °C
2025-01-02 10:44:43,21.0 °C
2025-01-02 10:44:44,21.0 °C
2025-01-02 10:44:44,21.0 °C
2025-01-02 10:44:44,21.0 °C
2025-01-02 10:44:45,21.0 °C
2025-01-02 10:44:45,21.0 °C
2025-01-02 10:44:46,21.0 °C
2025-01-02 10:44:46,21.0 °C
2025-01-02 10:44:47,21.0 °C
2025-01-02 10:44:47,21.0 °C
2025-01-02 10:44:48,21.0 °C
2025-01-02 10:44:48,21.0 °C
2025-01-02 10:44:49,21.0 °C
2025-01-02 10:44:49,21.0 °C
2025-01-02 10:44:50,21.0 °C
2025-01-02 10:44:50,21.0 °C
2025-01-02 10:44:51,21.0 °C
2025-01-02 10:44:51,21.0 °C
2025-01-02 10:44:52,21.0 °C
2025-01-02 10:44:52,21.0 °C
2025-01-02 10:44:53,21.0 °C
2025-01-02 10:44:53,21.0 °C
2025-01-02 10:44:54,21.0 °C
2025-01-02 10:44:54,21.0 °C
2025-01-02 10:44:54,21.0 °C
2025-01-02 10:44:55,21.0 °C
2025-01-02 10:44:55,21.0 °C
2025-01-02 10:44:56,21.0 °C
2025-01-02 10:44:56,21.0 °C
2025-01-02 10:44:57,21.0 °C
2025-01-02 10:44:57,21.0 °C
2025-01-02 10:44:58,21.0 °C
2025-01-02 10:44:58,21.0 °C
2025-01-02 10:44:59,21.0 °C
2025-01-02 10:44:59,21.0 °C
2025-01-02 10:45:00,21.0 °C
2025-01-02 10:45:00,21.0 °C
2025-01-02 10:45:00,21.0 °C
2025-01-02 10:45:01,21.0 °C
2025-01-02 10:45:01,21.0 °C
2025-01-02 10:45:02,21.0 °C
2025-01-02 10:45:02,21.0 °C
2025-01-02 10:45:03,21.0 °C
2025-01-02 10:45:03,21.0 °C
2025-01-02 10:45:04,21.0 °C
2025-01-02 10:45:04,21.0 °C
2025-01-02 10:45:05,21.0 °C
2025-01-02 10:45:05,21.0 °C
2025-01-02 10:45:06,21.0 °C
2025-01-02 10:45:06,21.0 °C
2025-01-02 10:45:07,21.0 °C
2025-01-02 10:45:07,21.0 °C
2025-01-02 10:45:07,21.0 °C
2025-01-02 10:45:08,21.0 °C
2025-01-02 10:45:08,21.0 °C
2025-01-02 10:45:09,21.0 °C
2025-01-02 10:45:09,21.0 °C
2025-01-02 10:45:10,21.0 °C
2025-01-02 10:45:10,21.0 °C
2025-01-02 10:45:11,21.0 °C
2025-01-02 10:45:11,21.0 °C
2025-01-02 10:45:12,21.0 °C
2025-01-02 10:45:12,21.0 °C
2025-01-02 10:45:12,21.0 °C
2025-01-02 10:45:13,21.0 °C
2025-01-02 10:45:13,21.0 °C
2025-01-02 10:45:14,21.0 °C
2025-01-02 10:45:14,21.0 °C
2025-01-02 10:45:15,21.0 °C
2025-01-02 10:45:15,21.0 °C
2025-01-02 10:45:16,21.0 °C
2025-01-02 10:45:16,21.0 °C
2025-01-02 10:45:17,21.0 °C
2025-01-02 10:45:17,21.0 °C
2025-01-02 10:45:18,21.0 °C
2025-01-02 10:45:18,21.0 °C
2025-01-02 10:45:19,21.0 °C
2025-01-02 10:45:19,21.0 °C
2025-01-02 10:45:20,21.0 °C
2025-01-02 10:45:20,21.0 °C
2025-01-02 10:45:20,21.0 °C
2025-01-02 10:45:21,21.0 °C
2025-01-02 10:45:21,21.0 °C
2025-01-02 10:45:22,21.0 °C
2025-01-02 10:45:22,21.0 °C
2025-01-02 10:45:23,21.0 °C
2025-01-02 10:45:23,21.0 °C
2025-01-02 10:45:24,21.0 °C
2025-01-02 10:45:24,21.0 °C
2025-01-02 10:45:25,21.0 °C
2025-01-02 10:45:25,21.0 °C
2025-01-02 10:45:26,21.0 °C
2025-01-02 10:45:26,21.0 °C
2025-01-02 10:45:27,21.0 °C
2025-01-02 10:45:27,21.0 °C
2025-01-02 10:45:28,21.0 °C
2025-01-02 10:45:28,21.0 °C
2025-01-02 10:45:29,21.0 °C
2025-01-02 10:45:29,21.0 °C
2025-01-02 10:45:30,21.0 °C
2025-01-02 10:45:30,21.0 °C
2025-01-02 10:45:30,21.0 °C
2025-01-02 10:45:31,21.0 °C
2025-01-02 10:45:31,21.0 °C
2025-01-02 10:45:32,21.0 °C
2025-01-02 10:45:32,21.0 °C
2025-01-02 10:45:33,21.0 °C
2025-01-02 10:45:33,21.0 °C
2025-01-02 10:45:34,21.0 °C
2025-01-02 10:45:34,21.0 °C
2025-01-02 10:45:35,21.0 °C
2025-01-02 10:45:35,21.0 °C
2025-01-02 10:45:35,21.0 °C
2025-01-02 10:45:36,21.0 °C
2025-01-02 10:45:36,21.0 °C
2025-01-02 10:45:37,21.0 °C
2025-01-02 10:45:37,21.0 °C
2025-01-02 10:45:38,21.0 °C
2025-01-02 10:45:38,21.0 °C
2025-01-02 10:45:39,21.0 °C
2025-01-02 10:45:39,21.0 °C
2025-01-02 10:45:40,21.0 °C
2025-01-02 10:45:40,21.0 °C
2025-01-02 10:45:41,21.0 °C
2025-01-02 10:45:41,21.0 °C
2025-01-02 10:45:41,21.0 °C
2025-01-02 10:45:42,21.0 °C
2025-01-02 10:45:42,21.0 °C
2025-01-02 10:45:43,21.0 °C
2025-01-02 10:45:43,21.0 °C
2025-01-02 10:45:44,21.0 °C
2025-01-02 10:45:44,21.0 °C
2025-01-02 10:45:45,21.0 °C
2025-01-02 10:45:45,21.0 °C
2025-01-02 10:45:46,21.0 °C
2025-01-02 10:45:46,21.0 °C
2025-01-02 10:45:47,21.0 °C
2025-01-02 10:45:47,21.0 °C
2025-01-02 10:45:48,21.0 °C
2025-01-02 10:45:48,21.0 °C
2025-01-02 10:45:49,21.0 °C
2025-01-02 10:45:49,21.0 °C
2025-01-02 10:45:50,21.0 °C
2025-01-02 10:45:50,21.0 °C
2025-01-02 10:45:50,21.0 °C
2025-01-02 10:45:51,21.0 °C
2025-01-02 10:45:51,21.0 °C
2025-01-02 10:45:52,21.0 °C
2025-01-02 10:45:52,21.0 °C
2025-01-02 10:45:53,21.0 °C
2025-01-02 10:45:53,21.0 °C
2025-01-02 10:45:54,21.0 °C
2025-01-02 10:45:54,21.0 °C
2025-01-02 10:45:55,21.0 °C
2025-01-02 10:45:55,21.0 °C
2025-01-02 10:45:56,21.0 °C
2025-01-02 10:45:56,21.0 °C
2025-01-02 10:45:57,21.0 °C
2025-01-02 10:45:57,21.0 °C
2025-01-02 10:45:57,21.0 °C
2025-01-02 10:45:58,21.0 °C
2025-01-02 10:45:58,21.0 °C
2025-01-02 10:45:59,21.0 °C
2025-01-02 10:45:59,21.0 °C
2025-01-02 10:46:00,21.0 °C
2025-01-02 10:46:00,21.0 °C
2025-01-02 10:46:01,21.0 °C
2025-01-02 10:46:01,21.0 °C
2025-01-02 10:46:02,21.0 °C
2025-01-02 10:46:02,21.0 °C
2025-01-02 10:46:03,21.0 °C
2025-01-02 10:46:03,21.0 °C
2025-01-02 10:46:04,21.0 °C
2025-01-02 10:46:04,21.0 °C
2025-01-02 10:46:05,21.0 °C
2025-01-02 10:46:05,21.0 °C
2025-01-02 10:46:06,21.0 °C
2025-01-02 10:46:06,21.0 °C
2025-01-02 10:46:07,21.0 °C
2025-01-02 10:46:07,21.0 °C
2025-01-02 10:46:08,21.0 °C
2025-01-02 10:46:08,21.0 °C
